Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2024 Actuals,FY 2025 Enacted,FY 2025 Supplemental,FY 2025 Total,FY 2026 Disc Request,FY 2026 Reconciliation Request,FY 2026 Total
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,54,0604336F,Nuclear Delivery Systems Prototyping,Y,,"39,079",,"39,079","56,926",,"56,926"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,55,0604414F,Cyber Resiliency of Weapon Systems-ACS,Y,"35,712","45,555",,"45,555","46,148",,"46,148"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,56,0604609F,Requirements Analysis & Concept Maturation,Y,,"12,622",,"12,622","22,754",,"22,754"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,57,0604668F,Joint Transportation Management System (JTMS),Y,"26,036","74,103",,"74,103","129,626",,"129,626"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,58,0604776F,Deployment & Distribution Enterprise R&D,Y,"23,733","4,840",,"4,840","4,996",,"4,996"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,59,0604858F,Tech Transition Program,Y,"232,375","239,342",,"239,342","134,833","164,000","298,833"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,60,0604860F,Operational Energy and Installation Resilience,Y,"23,270","25,395",,"25,395","49,460",,"49,460"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,61,0605057F,Next Generation Air-refueling System,Y,"9,325","7,014",,"7,014","12,960",,"12,960"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,62,0605164F,Air Refueling Capability Modernization,Y,"15,201","13,661",,"13,661",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,63,0606004F,Nuclear Enterprise Research & Development,Y,,,,,"1,097",,"1,097"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,64,0606005F,Digital Transformation Office,Y,"57,511","9,800",,"9,800","15,997",,"15,997"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,65,0207110F,F-47,Y,"2,346,905","2,424,208",,"2,424,208",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,66,0207147F,Collaborative Combat Aircraft,Y,,"711,747",,"711,747","111,365","678,000","789,365"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,67,0207179F,Autonomous Collaborative Platforms,Y,"110,945","50,666",,"50,666","62,019",,"62,019"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,68,0207420F,Combat Identification,Y,"1,902","1,914",,"1,914","1,713",,"1,713"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,69,0207423F,Advanced Communications Systems,Y,,,,,,"5,500","5,500"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,70,0207448F,C2ISR Tactical Data Link,Y,,"3,500",,"3,500",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,71,0207455F,Three Dimensional Long-Range Radar (3DELRR),Y,"13,875","8,100",,"8,100","17,344",,"17,344"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,72,0207522F,Airbase Air Defense Systems (ABADS),Y,"67,182","17,273",,"17,273","15,785","15,000","30,785"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,73,0207606F,Joint Simulation Environment (JSE),Y,,"149,502",,"149,502","260,667",,"260,667"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,74,0208030F,War Reserve Materiel - Ammunition,Y,"7,897","5,226",,"5,226","9,865",,"9,865"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,75,0303010F,AF ISR Digital Infrastructure,Y,,"18,733",,"18,733","24,817","2,200","27,017"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,76,0305236F,Common Data Link Executive Agent (CDL EA),Y,"25,157","33,349",,"33,349","32,511",,"32,511"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,77,0305601F,Mission Partner Environments,Y,"17,078","18,438",,"18,438","14,956",,"14,956"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,78,0701200F,Enterprise Select Class II,Y,,,,,"1,000",,"1,000"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,79,0708051F,Rapid Sustainment Modernization (RSM),Y,"78,431","50,044",,"50,044","32,666",,"32,666"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,80,0808736F,Special Victim Accountability and Investigation,Y,,"3,006",,"3,006","1,997",,"1,997"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,81,0808737F,Integrated Primary Prevention,Y,"9,021","5,364",,"5,364","5,167",,"5,167"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,82,0901410F,Contracting Information Technology System,Y,"22,964","28,995",,"28,995","29,277",,"29,277"
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,83,1206415F,U.S. Space Command Research and Development Support,Y,"8,782","24,446",,"24,446","36,913",,"36,913"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,84,0604200F,Future Advanced Weapon Analysis & Programs,Y,"9,589","7,205",,"7,205","36,125",,"36,125"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,85,0604201F,"PNT Resiliency, Mods, and Improvements",Y,"171,555","214,900",,"214,900","125,663",,"125,663"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,86,0604222F,Nuclear Weapons Support,Y,"44,219","70,823",,"70,823","79,312",,"79,312"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,87,0604270F,Electronic Warfare Development,Y,"23,673","13,754",,"13,754","17,013",,"17,013"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,88,0604281F,Tactical Data Networks Enterprise,Y,"82,369","78,480",,"78,480","77,170",,"77,170"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,89,0604287F,Physical Security Equipment,Y,"9,836","10,569",,"10,569","10,589",,"10,589"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,90,0604288F,Survivable Airborne Operations Center (SAOC),Y,,,,,"1,826,328","6,800","1,833,128"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,91,0604602F,Armament/Ordnance Development,Y,"5,036","5,417",,"5,417","7,253",,"7,253"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,92,0604604F,Submunitions,Y,"3,345","3,427",,"3,427","3,502",,"3,502"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,93,0604617F,Agile Combat Support,Y,"50,747","23,635",,"23,635","23,474",,"23,474"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,94,0604706F,Life Support Systems,Y,"37,578","24,502",,"24,502","20,542",,"20,542"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,95,0604735F,Combat Training Ranges,Y,"56,609","160,783",,"160,783","139,499",,"139,499"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,96,0604932F,Long Range Standoff Weapon,Y,"856,942","593,926",,"593,926","606,955",,"606,955"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,97,0604933F,ICBM Fuze Modernization,Y,"40,447",,,,"3,252",,"3,252"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,98,0605030F,Joint Tactical Network Center (JTNC),Y,"2,256",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,99,0605031F,Joint Tactical Network (JTN),Y,452,,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,100,0605056F,Open Architecture Management,Y,"34,239","41,223",,"41,223","44,150",,"44,150"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,101,0605223F,Advanced Pilot Training,Y,"58,803","248,589",,"248,589","172,378",,"172,378"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,102,0605229F,HH-60W,Y,"39,815",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,103,0605238F,Ground Based Strategic Deterrent EMD,Y,"4,327,250","2,011,024",,"2,011,024","2,647,563","1,500,000","4,147,563"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,104,0605296F,Microelectronics Secure Enclave,Y,,,,,"104,990",,"104,990"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,105,0102417F,Over-the-Horizon Backscatter Radar,Y,"471,042","377,394",,"377,394",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,106,0207039F,Cognitive Electromagnetic Warfare,Y,,,,,"44,267",,"44,267"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,107,0207110F,F-47,Y,,,,,"2,579,362","900,000","3,479,362"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,108,0207171F,F-15 EPAWSS,Y,"12,975",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,109,0207279F,Isolated Personnel Survivability and Recovery,Y,"54,271","10,020",,"10,020","99,248",,"99,248"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,110,0207328F,Stand In Attack Weapon,Y,"220,978","346,341",,"346,341","255,336",,"255,336"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,111,0207407F,Electromagnetic Battle Management (EMBM),Y,,,,,"20,439",,"20,439"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,112,0207701F,Full Combat Mission Training,Y,"7,597","7,754",,"7,754","12,898",,"12,898"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,113,0208036F,Medical C-CBRNE Programs,Y,"2,006",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,114,0303008F,SATURN,Y,,,,,"4,985",,"4,985"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,115,0303267F,Auctioned Spectrum Relocation Fund,Y,"21,667",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,116,0303867F,AMBIT - Post-Auctioned SRF,Y,"19,057",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,117,0305155F,Theater Nuclear Weapon Storage & Security System,Y,,"2,000",,"2,000","19,875",,"19,875"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,118,0305205F,Endurance Unmanned Aerial Vehicles,Y,"30,000",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,119,0305282F,Joint Fires Network (JFN),Y,,,,,,"132,420","132,420"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,120,0401221F,KC-46A Tanker Squadrons,Y,"78,704","77,804",,"77,804","145,434",,"145,434"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,121,0401319F,VC-25B,Y,"94,750","433,943",,"433,943","602,318",,"602,318"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,122,0701212F,Automated Test Systems,Y,"10,007","21,634",,"21,634","30,341",,"30,341"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,123,0804772F,Training Developments,Y,"1,248","4,960",,"4,960","5,067",,"5,067"
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,124,1203176F,Combat Survivor Evader Locator,Y,,"1,135",,"1,135",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,125,0604256F,Threat Simulator Development,Y,"16,418","17,291",,"17,291","41,125",,"41,125"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,126,0604759F,Major T&E Investment,Y,"30,758","74,228",,"74,228","156,915",,"156,915"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,127,0605101F,RAND Project Air Force,Y,"30,998","39,720",,"39,720","32,405",,"32,405"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,128,0605502F,Small Business Innovation Research,Y,"947,652",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,129,0605712F,Initial Operational Test & Evaluation,Y,"13,720","14,247",,"14,247","13,872",,"13,872"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,130,0605807F,Test and Evaluation Support,Y,"960,429","936,913",,"936,913","1,098,871",,"1,098,871"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,131,0605827F,Acq Workforce- Global Vig & Combat Sys,Y,"317,901","327,724",,"327,724",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,132,0605828F,Acq Workforce- Global Reach,Y,"486,427","503,040",,"503,040",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,133,0605829F,"Acq Workforce- Cyber, Network, & Bus Sys",Y,"502,787","466,068",,"466,068","435,918",,"435,918"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,134,0605831F,Acq Workforce- Capability Integration,Y,"273,530","291,444",,"291,444","1,153,165",,"1,153,165"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,135,0605832F,Acq Workforce- Advanced Prgm Technology,Y,"72,767","68,182",,"68,182",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,136,0605833F,Acq Workforce- Nuclear Systems,Y,"305,322","343,180",,"343,180","368,881",,"368,881"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,137,0605898F,Management HQ - R&D,Y,"6,705","6,291",,"6,291","5,960",,"5,960"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,138,0605976F,Facilities Restoration and Modernization - Test and Evaluation Support,Y,"116,389","94,828",,"94,828","217,761",,"217,761"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,139,0605978F,Facilities Sustainment - Test and Evaluation Support,Y,"56,218","63,579",,"63,579","91,969",,"91,969"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,140,0606017F,Requirements Analysis and Maturation,Y,"114,631","31,450",,"31,450","28,157",,"28,157"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,141,0606398F,Management HQ - T&E,Y,"7,748","7,647",,"7,647","7,417",,"7,417"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,142,0208201F,Offensive small Unmanned Aircraft Systems (sUAS),Y,,,,,"4,985",,"4,985"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,143,0303255F,"Command, Control, Communication, and Computers (C4) - STRATCOM",Y,"45,725","39,607",,"39,607","15,662",,"15,662"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,144,0308602F,ENTEPRISE INFORMATION SERVICES (EIS),Y,"96,912","104,133",,"104,133","101,779",,"101,779"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,145,0702806F,Acquisition and Management Support,Y,"24,436","25,216",,"25,216","22,670",,"22,670"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,146,0804776F,Advanced Distributed Learning,Y,,828,,828,"1,698",,"1,698"
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,147,0909999F,Financing for Cancelled Account Adjustments,Y,"2,696",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,148,1001004F,International Activities,Y,"3,917","4,254",,"4,254","4,430",,"4,430"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,149,0604233F,Specialized Undergraduate Flight Training,Y,"26,265","30,043",,"30,043","66,200",,"66,200"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,150,0604283F,Battle Mgmt Com & Ctrl Sensor Development,Y,"27,388","69,040",,"69,040","17,353",,"17,353"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,151,0604445F,Wide Area Surveillance,Y,"9,269","21,443",,"21,443",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,152,0604617F,Agile Combat Support,Y,"5,446",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,153,0604840F,F-35 C2D2,Y,"1,236,710","1,134,207",,"1,134,207","1,182,094",,"1,182,094"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,154,0605018F,AF Integrated Personnel and Pay System (AF-IPPS),Y,"63,451","49,739",,"49,739","64,050",,"64,050"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,155,0605024F,Anti-Tamper Technology Executive Agency,Y,"49,311","65,792",,"65,792","62,965",,"62,965"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,156,0605117F,Foreign Materiel Acquisition and Exploitation,Y,"166,851","94,188",,"94,188",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,157,0605229F,HH-60W,Y,,"39,629",,"39,629","43,579","15,129","58,708"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,158,0605278F,HC/MC-130 Recap RDT&E,Y,"13,195","16,085",,"16,085","50,845",,"50,845"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,159,0606018F,NC3 Integration,Y,"22,222","21,864",,"21,864","40,066",,"40,066"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,160,0101113F,B-52 Squadrons,Y,"880,341","1,051,116",,"1,051,116","931,164",,"931,164"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,161,0101122F,Air-Launched Cruise Missile (ALCM),Y,279,542,,542,555,,555
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,162,0101126F,B-1B Squadrons,Y,"12,291","17,939",,"17,939","116,589",,"116,589"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,163,0101127F,B-2 Squadrons,Y,"83,010","37,862",,"37,862","12,519",,"12,519"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,164,0101213F,Minuteman Squadrons,Y,"41,732","59,320",,"59,320","106,032",,"106,032"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,165,0101316F,Worldwide Joint Strategic Communications,Y,"23,522","13,690",,"13,690","24,081",,"24,081"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,166,0101318F,Service Support to STRATCOM - Global Strike,Y,"7,562","7,330",,"7,330","6,928",,"6,928"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,167,0101328F,ICBM Reentry Vehicles,Y,"452,306","392,423",,"392,423","259,605","100,000","359,605"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,169,0102110F,MH-139A,Y,"25,464","15,000",,"15,000","5,982",,"5,982"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,170,0102326F,Region/Sector Operation Control Center Modernization Program,Y,831,852,,852,726,,726
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,171,0102417F,Over-the-Horizon Backscatter Radar,Y,,,,,"132,097","70,600","202,697"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,172,0202834F,Vehicles and Support Equipment  - General,Y,"9,474","6,097",,"6,097",744,,744
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,173,0205219F,MQ-9 UAV,Y,"82,393","7,074",,"7,074","26,689",,"26,689"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,174,0205671F,Joint Counter RCIED Electronic Warfare,Y,"2,303","3,372",,"3,372","3,424",,"3,424"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,175,0207040F,Multi-Platform Electronic Warfare Equipment,Y,"14,312",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,176,0207133F,F-16 Squadrons,Y,"119,589","104,252",,"104,252","216,638",,"216,638"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,177,0207134F,F-15E Squadrons,Y,"40,348","158,603",,"158,603","233,018",,"233,018"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,178,0207136F,Manned Destructive Suppression,Y,"12,871","13,855",,"13,855","17,680",,"17,680"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,179,0207138F,F-22A Squadrons,Y,"640,109","758,754",,"758,754","852,332",,"852,332"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,180,0207142F,F-35 Squadrons,Y,"88,991","47,132",,"47,132","48,446",,"48,446"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,181,0207146F,F-15EX,Y,"101,996","56,228",,"56,228","78,345","2,100","80,445"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,182,0207161F,Tactical AIM Missiles,Y,"40,473","34,932",,"34,932","86,549",,"86,549"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,183,0207163F,Advanced Medium Range Air-to-Air Missile (AMRAAM),Y,"51,976","53,593",,"53,593","51,242",,"51,242"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,184,0207172F,Joint Advanced Tactical Missile (JATM),Y,,,,,"425,029",,"425,029"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,185,0207227F,Combat Rescue - Pararescue,Y,659,743,,743,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,186,0207238F,E-11A,Y,"23,044","30,967",,"30,967","15,244",,"15,244"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,187,0207242F,Special Program Applications,Y,,,,,,"35,000","35,000"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,188,0207247F,AF TENCAP,Y,"30,649","50,263",,"50,263","52,492",,"52,492"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,189,0207249F,Precision Attack Systems Procurement,Y,"11,459","9,423",,"9,423","13,613",,"13,613"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,190,0207253F,Compass Call,Y,"62,555","132,475",,"132,475",,"63,137","63,137"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,191,0207268F,Aircraft Engine Component Improvement Program,Y,"58,262","60,498",,"60,498","52,734",,"52,734"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,192,0207325F,Joint Air-to-Surface Standoff Missile (JASSM),Y,"129,314","181,692",,"181,692","232,252",,"232,252"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,193,0207327F,Small Diameter Bomb (SDB),Y,"42,860","29,910",,"29,910","24,810",,"24,810"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,194,0207410F,Air & Space Operations Center (AOC),Y,"69,798","65,102",,"65,102","113,086",,"113,086"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,195,0207412F,Control and Reporting Center (CRC),Y,"17,074","16,856",,"16,856","17,569",,"17,569"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,196,0207418F,AFSPECWAR - TACP,Y,"1,622","1,433",,"1,433",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,198,0207431F,Combat Air Intelligence System Activities,Y,"75,883","25,049",,"25,049","33,601",,"33,601"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,199,0207438F,Theater Battle Management (TBM) C4I,Y,"6,231","4,401",,"4,401","6,787",,"6,787"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,200,0207439F,Electromagnetic Warfare Int Reprog (EWIR),Y,"10,007","13,577",,"13,577","60,072",,"60,072"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,201,0207444F,Tactical Air Control Party-Mod,Y,"24,093","12,171",,"12,171",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,202,0207452F,DCAPES,Y,"6,686","8,431",,"8,431","8,507",,"8,507"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,203,0207457F,Air Force Special Warfare (SPECWAR),Y,,,,,"27,526",,"27,526"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,204,0207521F,Air Force Calibration Programs,Y,"2,172","2,223",,"2,223","2,273",,"2,273"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,205,0207573F,National Technical Nuclear Forensics,Y,"1,974","2,060",,"2,060",,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,206,0207590F,Seek Eagle,Y,"33,417","34,985",,"34,985","33,707",,"33,707"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,207,0207605F,Wargaming and Simulation Centers,Y,"11,894",,,,,,
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,208,0207611F,Readiness Decision Support Enterprise,Y,,,,,"8,880",,"8,880"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,209,0207697F,Distributed Training and Exercises,Y,"3,678","3,964",,"3,964","4,399",,"4,399"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,210,0207701F,Full Combat Mission Training,Y,,"3,948",,"3,948","8,096",,"8,096"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,211,0208006F,Mission Planning Systems,Y,"83,500","80,709",,"80,709","138,745",,"138,745"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,212,0208007F,Tactical Deception,Y,"35,250",539,,539,"13,711",,"13,711"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,213,0208087F,Distributed Cyber Warfare Operations,Y,"40,457","29,996",,"29,996","31,197",,"31,197"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,214,0208088F,AF Defensive Cyberspace Operations,Y,"62,058","89,618",,"89,618","95,034",,"95,034"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,218,0208288F,Intel Data Applications,Y,"5,217",988,,988,"1,012","6,700","7,712"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,219,0301025F,GeoBase,Y,"1,458",,,,999,,999
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,220,0301113F,Cyber Security Intelligence Support,Y,"8,476","18,141",,"18,141","14,749",,"14,749"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,226,0301377F,Countering Advanced Conventional Weapons (CACW),Y,,834,,834,"1,117",,"1,117"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,228,0301401F,AF Multi-Domain Non-Traditional ISR Battlespace Awareness,Y,"2,890","3,006",,"3,006","2,987",,"2,987"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,229,0302015F,E-4B National Airborne Operations Center (NAOC),Y,"42,074","57,441",,"57,441","54,457",,"54,457"
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,230,0302315F,Non-Kinetic Countermeasure Support,Y,,"7,590",,"7,590","7,006",,"7,006"
